,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Melbourne High School,100,100,100,100,100,100,100,100,100,100
Mac.Robertson Girls' High School,100,100,100,100,100,100,100,100,100,100
"Nossal High School,Berwick,VIC,3806",0,100,100,100,100,100,100,100,100,100
"Suzanne Cory High School,Werribee,VIC,3030",99,100,100,100,100,100,100,100,100,100
Box Hill High School,99,98,98,99,98,99,99,98,98,98
Glen Waverley Secondary College,99,98,98,97,98,98,98,98,98,98
University High School,98,98,96,97,98,97,98,98,97,98
Balwyn High School,98,98,97,98,97,98,97,98,97,97
Victorian College Of The Arts Secondary School,94,94,94,95,97,94,96,97,96,96
Mckinnon Secondary College,96,97,97,96,96,96,96,96,96,96
East Doncaster Secondary College,94,93,92,93,93,93,95,96,96,96
"Auburn High School,Hawthorn East",0,0,0,69,87,89,95,94,97,96
"Melbourne Girls' College, Richmond",96,96,95,95,95,97,96,96,95,96
Vermont Secondary College,92,92,92,92,92,94,93,96,96,95
Canterbury Girls Secondary College,93,94,93,93,93,95,96,95,95,95
Mount Waverley Secondary College,96,94,93,95,94,96,95,95,94,95
Brighton Secondary College,92,93,91,92,92,93,94,95,95,95
Northcote High School,93,94,93,93,93,92,95,94,94,94
"Highvale Secondary College, Glen Waverley",89,90,90,91,93,94,94,93,95,94
"Brentwood Secondary College, Glen Waverley",93,92,92,91,94,92,95,94,93,93
Albert Park College,0,0,0,90,93,93,93,94,93,93
Viewbank College,92,92,93,94,93,93,92,93,94,93
"Koonung Secondary College, Mont Albert North",89,91,89,91,91,93,93,93,93,93
Williamstown High School,88,89,89,90,90,92,93,93,93,93
Mentone Girls Secondary College,92,91,91,91,92,92,92,92,93,92
"Princes Hill Secondary College, Carlton North",90,90,90,90,93,92,92,93,91,92
"Alamanda K-9 College,Point Cook,VIC,3030",0,0,0,0,0,76,90,91,94,92
"Glen Eira College,  Caufield East",88,88,87,82,85,90,91,92,92,92
"Buckley Park College, Essendon",91,94,90,92,92,92,92,92,90,92
Kew High School,92,91,93,90,91,91,90,92,91,91
Camberwell High School,94,92,91,91,89,92,90,90,92,91
Brunswick Secondary College,81,80,80,84,84,86,91,89,92,91
Frankston High School,85,87,87,89,86,91,89,92,91,91
Blackburn High School,91,91,87,90,88,91,89,91,91,90
Doncaster Secondary College,91,91,90,90,91,87,87,90,89,89
"Box Hill Senior Secondary College, Mont Albert North",91,87,83,86,86,91,88,84,84,86
Elwood College,81,83,88,85,86,83,86,86,87,86
Templestowe College,69,74,77,80,90,88,89,88,86,87
Fitzroy High School,86,81,78,87,78,84,85,84,80,83
Eltham High School,90,86,79,85,85,86,87,88,91,88
Sandringham College,85,87,86,84,88,84,89,89,89,89
Strathmore Secondary College,90,90,89,88,87,87,89,88,89,89
Ringwood Secondary College,84,88,83,86,85,90,86,92,88,89
Parkdale Secondary College,68,85,82,85,86,87,87,90,89,88
Cheltenham Secondary College,84,87,85,87,86,88,87,90,88,89
Bentleigh Secondary College,86,89,87,86,90,88,88,88,88,88
Mordialloc College,80,81,85,81,82,82,88,89,89,88
Coburg High School,0,0,0,0,0,0,82,82,82,82
Werribee Secondary College,81,79,83,87,88,90,91,90,89,90
Ashwood High School,82,82,76,81,82,80,84,84,86,85
Montmorency Secondary College,83,79,81,77,83,80,87,83,85,85
"Forest Hill College, Burwood East",78,79,72,71,74,74,76,85,80,80
Maribyrnong Secondary College,79,80,79,83,83,86,88,88,86,87
"Kambrya College, Berwick",82,78,79,81,79,83,88,87,86,87
"Norwood Secondary College, Ringwood",86,84,83,81,80,84,83,82,85,83
Thornbury High School,85,70,71,72,73,75,82,81,85,83
Wantirna College,81,83,81,82,84,82,83,83,84,83
Berwick Secondary College,78,81,79,81,78,77,78,83,82,81
"Rosehill Secondary College, Niddrie, Moonee Valley",78,77,80,78,82,85,83,85,84,84
"Wellington Secondary College, Mulgrave (Monash)",88,90,91,91,92,90,90,88,91,90
"Alkira Secondary College, Cranbourne North",73,78,78,80,82,78,83,83,81,82
Footscray High School,79,85,85,87,89,83,89,85,86,86
Warrandyte High School,83,84,81,80,79,78,80,74,79,77
"Upwey High School, Yarra Ranges",78,75,75,75,79,73,76,75,75,75
"Wheelers Hill Secondary College, Monash",83,79,80,79,80,79,77,77,75,77
"Monbulk College, Yarra Ranges",74,80,75,77,80,79,79,76,73,76
Gladstone Park Secondary College (Hume),76,78,78,81,81,81,83,81,83,82
Gleneagles Secondary College (Casey),80,77,77,77,78,75,77,82,74,78
Mill Park Secondary College (Epping),75,71,71,72,72,76,78,78,78,78
Patterson River Secondary College (Seaford),75,76,72,70,72,76,76,79,76,77
Taylors Lakes Secondary College (Brimbank),77,81,77,78,76,75,76,79,80,78
Rowville Secondary College,77,76,74,75,74,76,77,73,79,76
Heathmont College,69,69,74,70,80,75,76,74,77,76
"Elisabeth Murdoch College,Langwarrin (Frankston)",75,73,73,70,76,72,80,77,81,79
"Lilydale High School, Yarra Ranges",78,75,73,75,74,77,76,75,76,75
"Cranbourne East Secondary College,Cranbourne East,VIC,3977",0,0,69,67,68,71,75,77,77,76